ID_useku,ID_uzol1,ID_uzol2,dlzka_useku
0,112,41,1015
1,41,23,704
2,23,33,451
3,33,25,617
4,25,42,654
5,42,38,521
6,38,37,705
7,37,9,755
8,9,95,722
9,95,96,662
10,96,94,501
11,94,93,1018
12,93,92,696
13,92,91,1060
14,91,126,679
15,126,77,406
16,77,78,615
17,78,79,592
18,79,52,928
19,52,50,310
20,50,51,592
21,51,33,866
22,33,23,366
23,23,41,838
24,41,112,859
25,49,122,513
26,122,120,471
27,120,123,1231
28,123,125,291
29,125,124,384
30,124,41,440
31,33,39,441
32,39,38,734
33,38,42,586
34,42,25,796
35,25,33,513
36,41,124,329
37,124,125,380
38,125,123,619
39,123,120,1003
40,120,122,346
41,122,49,567
42,9,119,419
43,119,9,388
44,9,37,454
45,37,38,912
46,33,27,431
47,27,51,488
48,51,50,267
49,50,52,437
50,52,79,965
51,79,78,605
52,78,77,556
53,77,126,450
54,126,91,736
55,91,92,1066
56,92,94,761
57,94,96,507
58,94,92,795
59,92,72,638
60,72,73,522
61,73,75,669
62,75,93,779
63,93,94,606
64,96,95,532
65,95,9,804
66,9,230,628
67,230,54,1218
68,54,53,641
69,53,62,646
70,62,20,596
71,20,19,612
72,19,18,440
73,18,160,766
74,160,18,834
75,18,19,470
76,19,20,611
77,20,62,502
78,62,53,650
79,53,52,379
80,51,37,572
81,42,300,747
82,300,31,446
83,31,47,1107
84,47,74,1576
85,74,70,889
86,70,64,964
87,64,66,781
88,66,64,781
89,64,70,983
90,70,74,883
91,74,47,1638
92,47,31,877
93,31,300,624
94,300,42,921
95,207,38,388
96,38,34,532
97,34,28,645
98,28,200,4616
99,200,28,4935
100,28,34,668
101,34,38,625
102,38,207,455
103,1,3,353
104,3,4,519
105,4,5,393
106,5,2,553
107,2,125,339
108,23,40,440
109,40,25,755
110,25,30,503
111,30,17,863
112,17,46,1001
113,46,44,633
114,44,43,587
115,43,45,438
116,25,40,545
117,40,23,462
118,125,2,353
119,2,5,525
120,5,4,424
121,4,3,488
122,3,1,353
123,45,43,470
124,43,44,552
125,44,46,687
126,46,17,654
127,17,30,1060
128,30,25,735
129,25,36,557
130,36,29,942
131,29,22,542
132,22,112,632
133,112,22,674
134,22,29,456
135,29,36,2339
136,36,25,750
137,66,31,5599
138,53,54,746
139,54,55,329
140,55,23,686
141,23,39,861
142,42,30,622
143,17,12,1866
144,12,13,546
145,13,10,382
146,10,11,531
147,11,10,495
148,10,13,430
149,13,12,652
150,12,17,1862
151,30,42,841
152,46,98,1688
153,98,99,465
154,99,98,481
155,98,46,1686
156,112,114,667
157,114,112,698
158,66,63,1426
159,63,66,1426
160,38,39,685
161,39,23,895
162,23,55,903
163,55,54,289
164,20,42,4435
165,12,42,3764
166,28,202,7155
167,202,28,7192
168,9,162,539
169,162,501,813
170,501,92,1420
171,92,162,865
172,162,9,696
173,75,47,1079
174,47,28,842
175,41,140,628
176,140,60,796
177,60,56,510
178,56,57,408
179,57,58,240
180,58,57,240
181,57,56,444
182,56,60,496
183,60,140,826
184,140,41,775
185,28,47,1003
186,47,75,1116
187,75,73,417
188,73,72,388
189,17,16,380
190,16,15,674
191,15,164,407
192,164,100,610
193,100,101,527
194,101,102,497
195,102,110,1788
196,110,113,643
197,113,109,324
198,109,115,604
199,115,109,648
200,109,113,310
201,113,110,616
202,110,102,1814
203,102,101,490
204,101,100,513
205,100,164,626
206,164,15,513
207,15,16,576
208,16,17,719
209,112,116,563
210,116,49,1180
211,49,116,1113
212,116,112,591
213,29,23,1769
214,113,102,2430
215,16,25,2515
216,200,202,2676
217,202,290,2280
218,159,103,150
219,103,105,380
220,105,107,1305
221,107,106,596
222,106,104,1701
223,104,83,1133
224,83,81,974
225,81,22,864
226,22,35,514
227,35,41,789
228,17,14,1317
229,14,17,2103
230,41,35,699
231,35,22,490
232,22,68,505
233,68,67,592
234,67,82,361
235,82,83,642
236,83,104,1214
237,104,106,1635
238,106,107,608
239,107,105,1279
240,105,103,380
241,103,159,150
242,107,42,7517
243,79,76,605
244,76,6,344
245,6,8,458
246,8,7,426
247,7,37,690
248,39,37,335
249,37,7,841
250,7,8,345
251,8,6,575
252,6,76,284
253,76,79,615
254,51,39,683
255,92,93,1009
256,37,39,493
257,39,27,336
258,28,96,1073
259,96,28,1048
260,289,202,682
261,202,200,2721
262,202,207,8965
263,202,289,456
